id,return_folio,inventory_id,catalog_id,part_number,return_quantity,loss_quantity,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reason,remarks,registered_by,movement_at,created_at
123,EMB-RET-20260504-190220-595,348,348,ACQ30500849,1,1,-2007,-2007,pending,pending,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:02:20,2026-05-05 01:02:20
124,EMB-RET-20260504-190233-734,350,350,ACQ30500853,1,1,-319,-319,pending,pending,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:02:33,2026-05-05 01:02:33
125,EMB-RET-20260504-190254-697,335,335,ACQ30372852,5,5,-155,-155,RAPTOR,Display,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:02:54,2026-05-05 01:02:54
126,EMB-RET-20260504-190305-774,18,18,EBR30299363,3,3,-502,-502,RAPTOR,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:03:05,2026-05-05 01:03:05
127,EMB-RET-20260504-190317-667,147,147,EBR83845048,1,1,-24,-24,MAJESTY,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:03:17,2026-05-05 01:03:17
128,EMB-RET-20260504-190331-339,298,298,EBR41039124,1,1,-351,-351,Raptor2 Q DI Mexico,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:03:31,2026-05-05 01:03:31
129,EMB-RET-20260504-190342-306,99,99,EBR87463760,2,2,-452,-452,Majesty1,PCB MAIN,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:03:42,2026-05-05 01:03:42
130,EMB-RET-20260504-190353-353,283,283,EBR33105505,5,5,-615,-615,VT,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:03:53,2026-05-05 01:03:54
131,EMB-RET-20260504-190405-488,84,84,EBR80757421,1,1,-855,-855,QUANTUM-T,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:04:05,2026-05-05 01:04:05
132,EMB-RET-20260504-190419-216,88,88,EBR80757432,2,2,-376,-376,Quantum-T 20,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:04:19,2026-05-05 01:04:19
133,EMB-RET-20260504-190437-846,570,570,ACQ91482496,4,4,-499,-499,pending,pending,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:04:37,2026-05-05 01:04:37
134,EMB-RET-20260505-160341-391,18,18,EBR30299363,1,0,-582,-581,RAPTOR,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-05 16:03:41,2026-05-05 22:03:41
135,EMB-RET-20260505-160353-306,18,18,EBR30299363,1,1,-581,-581,RAPTOR,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-05 16:03:53,2026-05-05 22:03:53
137,EMB-RET-20260507-072939-671,392,392,EBR24212306,60,0,2100,2160,MM Nova Basic Gas,NULL,LG,pending,,OS&D,,Rubi Garcia,2026-05-07 07:29:39,2026-05-07 13:29:39
138,EMB-RET-20260507-072956-965,392,392,EBR24212306,1,0,2160,2161,MM Nova Basic Gas,NULL,LG,pending,,OS&D,,Rubi Garcia,2026-05-07 07:29:56,2026-05-07 13:29:56
139,EMB-RET-20260507-073005-143,392,392,EBR24212306,60,60,2161,2161,MM Nova Basic Gas,NULL,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-07 07:30:05,2026-05-07 13:30:05
140,EMB-RET-20260507-073017-319,392,392,EBR24212306,1,1,2161,2161,MM Nova Basic Gas,NULL,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-07 07:30:17,2026-05-07 13:30:17
141,EMB-RET-20260508-152415-337,248,248,EAD62469113,1720,0,-2500,-780,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:24:15,2026-05-08 21:24:15
142,EMB-RET-20260508-152431-652,570,570,ACQ91482496,140,0,-589,-449,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:24:31,2026-05-08 21:24:31
143,EMB-RET-20260508-152442-255,336,336,ACQ30372853,160,0,365,525,RAPTOR,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:24:42,2026-05-08 21:24:43
144,EMB-RET-20260508-152452-459,145,145,EBR83845044,20,0,-48,-28,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:24:52,2026-05-08 21:24:52
145,EMB-RET-20260508-152514-297,96,96,EBR87463715,20,0,233,253,Raptor2 L Refresh,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:25:14,2026-05-08 21:25:14
146,EMB-RET-20260508-152522-452,98,98,EBR87463759,40,0,-300,-260,Majesty1 3D IW Craft,PCB MAIN,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:25:22,2026-05-08 21:25:23
147,EMB-RET-20260508-152531-529,334,334,ACQ30372851,160,0,-834,-674,RAPTOR,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:25:31,2026-05-08 21:25:31
148,EMB-RET-20260508-152539-234,567,567,ACQ91482484,10,0,-28,-18,MAJESTY,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:25:39,2026-05-08 21:25:39
149,EMB-RET-20260508-152550-271,563,563,ACQ91482476,10,0,-51,-41,MAJESTY,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:25:50,2026-05-08 21:25:50
150,EMB-RET-20260508-152602-664,126,126,ABQ75822454,60,0,-319,-259,RAPTOR,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:26:02,2026-05-08 21:26:02
151,EMB-RET-20260508-152614-339,157,157,ABQ74229140,90,0,-192,-102,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:26:14,2026-05-08 21:26:14
152,EMB-RET-20260508-152623-990,154,154,ABQ74229133,30,0,-139,-109,Mal Basic Disruptive Mexico,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:26:23,2026-05-08 21:26:23
153,EMB-RET-20260508-152632-589,153,153,ABQ74229132,30,0,-194,-164,17 Mal Basic Ecuador,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:26:32,2026-05-08 21:26:32
154,EMB-RET-20260508-152642-275,21,21,EBR30299366,60,0,-113,-53,RAPTOR,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:26:42,2026-05-08 21:26:42
